"rtNm ","arsId ","arsId "
"6009","0","인천공항T2-회전구간(가상)"
"470","01001","종로2가사거리"
"741","01001","종로2가사거리"
"N37","01001","종로2가사거리"
"100","01002","창경궁.서울대학교병원"
"102","01002","창경궁.서울대학교병원"
"104","01002","창경궁.서울대학교병원"
"106","01002","창경궁.서울대학교병원"
"107","01002","창경궁.서울대학교병원"
"108","01002","창경궁.서울대학교병원"
"140","01002","창경궁.서울대학교병원"
"143","01002","창경궁.서울대학교병원"
"150","01002","창경궁.서울대학교병원"
"151","01002","창경궁.서울대학교병원"
"160","01002","창경궁.서울대학교병원"
"162","01002","창경궁.서울대학교병원"
"171","01002","창경궁.서울대학교병원"
"172","01002","창경궁.서울대학교병원"
"272","01002","창경궁.서울대학교병원"
"301","01002","창경궁.서울대학교병원"
"710","01002","창경궁.서울대학교병원"
"100","01003","명륜3가.성대입구"
"102","01003","명륜3가.성대입구"
"104","01003","명륜3가.성대입구"
"106","01003","명륜3가.성대입구"
"107","01003","명륜3가.성대입구"
"108","01003","명륜3가.성대입구"
"140","01003","명륜3가.성대입구"
"143","01003","명륜3가.성대입구"
"150","01003","명륜3가.성대입구"
"151","01003","명륜3가.성대입구"
"160","01003","명륜3가.성대입구"
"162","01003","명륜3가.성대입구"
"171","01003","명륜3가.성대입구"
"172","01003","명륜3가.성대입구"
"272","01003","명륜3가.성대입구"
"301","01003","명륜3가.성대입구"
"710","01003","명륜3가.성대입구"
"03","01004","종로2가.삼일교"
"03","01004","종로2가.삼일교"
"1711","02003","서울역버스환승센터"
"03","01004","종로2가.삼일교"
"470","01004","종로2가.삼일교"
"501","01004","종로2가.삼일교"
"701","01004","종로2가.삼일교"
"741","01004","종로2가.삼일교"
"N37","01004","종로2가.삼일교"
"100","01005","혜화동로터리.여운형활동터"
"102","01005","혜화동로터리.여운형활동터"
"104","01005","혜화동로터리.여운형활동터"
"106","01005","혜화동로터리.여운형활동터"
"107","01005","혜화동로터리.여운형활동터"
"108","01005","혜화동로터리.여운형활동터"
"140","01005","혜화동로터리.여운형활동터"
"143","01005","혜화동로터리.여운형활동터"
"150","01005","혜화동로터리.여운형활동터"
"151","01005","혜화동로터리.여운형활동터"
"160","01005","혜화동로터리.여운형활동터"
"162","01005","혜화동로터리.여운형활동터"
"171","01005","혜화동로터리.여운형활동터"
"172","01005","혜화동로터리.여운형활동터"
"272","01005","혜화동로터리.여운형활동터"
"710","01005","혜화동로터리.여운형활동터"
"160","01006","서대문역사거리"
"260","01006","서대문역사거리"
"7016","02003","서울역버스환승센터"
"270","01006","서대문역사거리"
"271","01006","서대문역사거리"
"273","01006","서대문역사거리"
"721","01006","서대문역사거리"
"N26","01006","서대문역사거리"
"160","01009","광화문"
"260","01009","광화문"
"270","01009","광화문"
"271","01009","광화문"
"273","01009","광화문"
"370","01009","광화문"
"470","01009","광화문"
"702A서오릉","01009","광화문"
"702B용두초교","01009","광화문"
"705","01009","광화문"
"720","01009","광화문"
"721","01009","광화문"
"741","01009","광화문"
"9701","01009","광화문"
"N26","01009","광화문"
"N37","01009","광화문"
"101","01010","광화문"
"103","01010","광화문"
"150","01010","광화문"
